ORDER,RMSE
"(4, 1, 7)",118.04809
"(5, 1, 7)",118.5992074
"(4, 1, 5)",119.8469527
"(7, 1, 6)",119.9398304
"(1, 1, 7)",120.1463571
"(2, 1, 5)",120.2215785
"(6, 1, 5)",120.2610593
"(1, 1, 6)",120.4300455
"(2, 1, 7)",120.4503625
"(3, 1, 6)",120.9186629
"(3, 1, 5)",120.9722211
"(5, 0, 7)",122.4283532
"(3, 0, 7)",123.9826046
"(3, 1, 7)",128.7922405
"(4, 1, 6)",129.38161
"(2, 1, 6)",129.7481207
"(6, 1, 7)",130.437841
"(2, 1, 0)",130.7883947
"(6, 1, 0)",131.1368551
"(5, 1, 0)",131.1792512
"(5, 1, 6)",131.3698122
"(7, 1, 5)",131.5447917
"(1, 1, 0)",132.0846156
"(4, 1, 0)",132.1769387
"(7, 1, 7)",132.1866005
"(3, 1, 0)",132.4405271
"(5, 1, 4)",132.4454014
"(0, 1, 1)",132.6690725
"(5, 1, 3)",133.0794642
"(5, 1, 5)",133.2212014
"(7, 1, 0)",133.2315583
"(0, 1, 7)",133.2651237
"(7, 1, 2)",133.6251517
"(6, 1, 6)",133.9243719
"(6, 1, 4)",133.9615658
"(6, 1, 2)",133.9619821
"(7, 1, 4)",134.1675751
"(5, 1, 2)",134.1696938
"(0, 1, 6)",134.4887983
"(6, 1, 3)",134.5275736
"(0, 1, 4)",134.7902322
"(0, 1, 0)",134.8820685
"(2, 1, 3)",134.8831562
"(1, 1, 4)",134.933581
"(3, 1, 2)",135.2050434
"(4, 1, 2)",135.2161453
"(2, 1, 4)",135.242148
"(4, 1, 1)",135.2706373
"(4, 1, 3)",135.3267228
"(3, 1, 4)",135.3543055
"(3, 1, 3)",135.4227331
"(1, 1, 5)",135.5557347
"(1, 1, 3)",135.6772951
"(0, 1, 5)",135.6856044
"(3, 1, 1)",135.7810971
"(0, 1, 2)",136.0573091
"(2, 1, 2)",136.6642141
"(0, 1, 3)",136.8008803
"(2, 1, 1)",136.8303027
"(1, 1, 2)",136.8554821
"(1, 1, 1)",136.8904817
"(7, 1, 3)",137.0675974
"(5, 1, 1)",137.1501386
"(2, 0, 7)",137.3166639
"(6, 1, 1)",137.6750976
"(4, 1, 4)",137.9447215
"(7, 1, 1)",138.1367731
"(7, 0, 7)",139.6444082
"(5, 0, 4)",139.7071058
"(5, 0, 5)",140.414696
"(1, 0, 7)",141.3458046
"(1, 0, 6)",141.4186232
"(6, 0, 6)",141.845146
"(7, 0, 6)",141.9796831
"(7, 0, 5)",142.1844349
"(1, 0, 4)",142.3353709
"(3, 0, 3)",142.5102333
"(2, 0, 4)",142.518401
"(6, 0, 7)",142.7215983
"(5, 0, 2)",142.9503909
"(6, 0, 3)",143.0053582
"(3, 0, 6)",143.0214059
"(3, 0, 4)",143.0250203
"(2, 0, 6)",143.0895386
"(3, 0, 5)",143.1262779
"(5, 0, 3)",143.1331889
"(1, 0, 2)",143.1389574
"(4, 0, 4)",143.1689076
"(2, 0, 3)",143.3669673
"(4, 0, 1)",143.4351337
"(6, 0, 5)",143.4497664
"(1, 0, 1)",143.4860012
"(4, 0, 3)",143.4963085
"(2, 0, 5)",143.5014934
"(6, 0, 4)",143.6394071
"(1, 0, 5)",143.8710651
"(6, 0, 1)",144.1687167
"(4, 0, 5)",144.3655499
"(7, 0, 2)",144.4162163
"(7, 0, 1)",144.4803958
"(3, 0, 2)",144.8302131
"(1, 0, 3)",144.8782653
"(5, 0, 6)",144.9391497
"(3, 0, 1)",145.0129768
"(2, 0, 2)",145.0437446
"(2, 0, 1)",145.0939274
"(4, 0, 2)",145.2963451
"(6, 0, 2)",145.7281726
"(7, 0, 4)",146.089792
"(4, 0, 7)",147.5028444
"(7, 0, 0)",147.8900817
"(4, 0, 6)",147.9670465
"(6, 0, 0)",151.9892691
"(7, 0, 3)",154.1316263
"(5, 0, 0)",160.252393
"(4, 0, 0)",161.0040335
"(5, 0, 1)",162.7980735
"(3, 0, 0)",200.2408617
"(2, 0, 0)",211.7370743
"(1, 0, 0)",235.9991189
"(0, 0, 7)",249.9563546
"(0, 0, 6)",250.6054609
"(0, 0, 5)",252.016106
"(0, 0, 2)",252.6696125
"(0, 0, 4)",252.7567252
"(0, 0, 3)",253.4443291
"(0, 0, 1)",257.1231158
"(0, 0, 0)",258.8830285
